example_id                                                    | status | run_time        |
------------------------------------------------------------- | ------ | --------------- |
./spec/cucumber/rails/database_spec.rb[1:1:1]                 | passed | 0.00057 seconds |
./spec/cucumber/rails/database_spec.rb[1:1:2]                 | passed | 0.00845 seconds |
./spec/cucumber/rails/database_spec.rb[1:2:1]                 | passed | 0.00046 seconds |
./spec/cucumber/rails/database_spec.rb[1:3:1]                 | passed | 0.00683 seconds |
./spec/cucumber/rails/database_spec.rb[1:3:2]                 | passed | 0.00494 seconds |
./spec/cucumber/rails/database_spec.rb[1:4:1]                 | passed | 0.69664 seconds |
./spec/generators/cucumber/install_generator_spec.rb[1:1:1:1] | passed | 0.0271 seconds  |
./spec/generators/cucumber/install_generator_spec.rb[1:1:1:2] | passed | 0.0285 seconds  |
./spec/generators/cucumber/install_generator_spec.rb[1:1:2:1] | passed | 0.05333 seconds |
./spec/generators/cucumber/install_generator_spec.rb[1:1:3:1] | passed | 0.02378 seconds |
./spec/generators/cucumber/install_generator_spec.rb[1:1:3:2] | passed | 0.04247 seconds |
./spec/generators/cucumber/install_generator_spec.rb[1:1:3:3] | passed | 0.05091 seconds |
./spec/generators/cucumber/install_generator_spec.rb[1:1:4:1] | passed | 0.04202 seconds |
./spec/generators/cucumber/install_generator_spec.rb[1:1:4:2] | passed | 0.04029 seconds |
./spec/generators/cucumber/install_generator_spec.rb[1:1:4:3] | passed | 0.01359 seconds |
./spec/generators/cucumber/install_generator_spec.rb[1:1:5:1] | passed | 0.04387 seconds |
./spec/generators/cucumber/install_generator_spec.rb[1:1:5:2] | passed | 0.03496 seconds |
